Player_id,Season,Competition,Games,PPG,Goals,Assists,Yellow_cards,Yellow_red_cards,Red_cards,Penalty_goals,Minutes_per_goal,Minutes_played,Club_id,League_type
425749,2022,Russian Cup,1,3.0,1,1,0,0,0,0,45,45,12420,pokalwettbewerb
425749,2021,FNL,31,1.13,1,5,3,0,0,0,1487,1487,6432,wettbewerb
425749,2021,Russian Cup,1,0.0,0,0,0,0,0,0,0,90,6432,pokalwettbewerb
425749,2020,FNL,14,1.07,3,3,5,1,0,0,379,1136,6432,wettbewerb
425749,2020,FNL,10,2.0,2,1,2,0,0,0,150,300,14589,wettbewerb
425749,2020,Russian Cup,2,1.5,1,0,0,0,0,0,128,128,14589,pokalwettbewerb
425749,2020,Premier Liga,0,0.0,0,0,0,0,0,0,0,0,11127,wettbewerb
425749,2019,Premier Liga,3,0.0,0,2,0,0,0,0,0,44,11127,wettbewerb
425749,2019,Russian Cup,2,3.0,0,0,0,0,0,0,0,58,11127,pokalwettbewerb
425749,2019,PFL Ural-Povolzj,13,2.0,6,0,2,0,0,0,184,1101,61456,wettbewerb
425749,2018,FNL,5,1.2,1,0,0,0,0,0,281,281,16950,wettbewerb
425749,2018,Premier Liga,3,0.0,0,0,0,0,0,0,0,7,11127,wettbewerb
425749,2018,U19 M-Liga,8,0.75,4,0,0,0,0,0,132,528,28085,wettbewerb
425749,2018,Russian Cup,1,3.0,0,0,0,0,0,0,0,6,11127,pokalwettbewerb
425749,2018,PFL Ural-Povolzj,6,1.5,3,0,2,0,0,0,167,501,61456,wettbewerb
425749,2017,FNL,29,1.03,6,4,2,0,0,0,283,1696,12054,wettbewerb
425749,2017,Russian Cup,2,1.5,0,0,0,0,0,0,0,180,12054,pokalwettbewerb
425749,2017,PFL Ural-Povolzj,3,0.0,0,0,0,0,0,0,0,180,61456,wettbewerb
425749,2017,Premier Liga,1,1.0,0,0,0,0,0,0,0,3,11127,wettbewerb
425749,2017,U19 M-Liga,5,0.4,1,0,1,0,0,0,383,383,28085,wettbewerb
425749,2016,U19 M-Liga,26,0.88,11,0,7,0,0,0,189,2080,28085,wettbewerb
425749,2016,Premier Liga,1,0.0,0,0,0,0,0,0,0,22,11127,wettbewerb
425749,2015,U19 M-Liga,28,0.75,5,0,4,0,0,0,354,1770,28085,wettbewerb
